,Unnamed: 0,id,name,genre,keywords,exclude?,group,lowerDownloads,upperDownloads,rating,total_ratings,last_updated,weighted_rating,reviewer,second
33,411,com.popularapp.periodcalendar,"Period Tracker, My Calendar",Health & Fitness,[mood],,mood,50000000,100000000,4.740021229,3624644,19/09/2016,17180889.51,Luke,Ciaran
4,123,com.myfitnesspal.android,Calorie Counter - MyFitnessPal,Health & Fitness,"[weight, diet]",,diet,50000000,100000000,4.61275816,1411645,20/10/2016,6511576.993,Luke,
44,220,com.runtastic.android,Runtastic Running & Fitness,Health & Fitness,"[running, running, exercise, workouts]",,running,10000000,50000000,4.495227337,627943,19/10/2016,2822746.54,Blaine,Ciaran
45,138,com.nike.plusgps,Nike+ Run Club,Health & Fitness,"[running, running]",,running,10000000,50000000,4.373317719,512459,15/09/2016,2241146.025,Arosha,Blaine
46,230,com.fitnesskeeper.runkeeper.pro,RunKeeper - GPS Track Run Walk,Health & Fitness,"[walking, running, running]",,running,10000000,50000000,4.452026844,427885,24/10/2016,1904955.506,Arosha,Blaine
47,226,com.endomondo.android,Endomondo - Running & Walking,Health & Fitness,"[walking, running, exercise, workouts, cycling]",,running,10000000,50000000,4.454059124,379910,21/10/2016,1692141.602,Arosha,
18,213,si.modula.android.instantheartrate,Instant Heart Rate Monitor,Health & Fitness,"[heartrate, heart rate]",,heart,10000000,50000000,4.271670341,273012,19/10/2016,1166217.263,Ciaran,Blaine
121,169,cc.pacer.androidapp,Pedometer & Weight Loss Coach,Health & Fitness,"[weight, steps, walking]",,weight,10000000,50000000,4.516668797,253677,27/09/2016,1145774.99,Blaine,
55,287,com.urbandroid.sleep,Sleep as Android,Lifestyle,"[sleep, sleep]",,sleep,10000000,50000000,4.303458691,223056,06/08/2016,959912.2818,Blaine,
48,90,com.strava,Strava Running and Cycling GPS,Health & Fitness,"[running, running, cycling]",,running,5000000,10000000,4.524771214,200352,24/10/2016,906546.9623,Ciaran,
56,78,droom.sleepIfUCan,Alarmy (Sleep If U Can)- alarm,Lifestyle,"[sleep, sleep]",,sleep,1000000,5000000,4.706886292,182175,24/10/2016,857477.0102,Blaine,
86,94,com.tayu.tau.pedometer,Pedometer,Health & Fitness,"[steps, walking]",,steps,10000000,50000000,4.322688103,197587,25/10/2016,854106.9742,Arosha,Ciaran
14,227,com.fitbit.FitbitMobile,Fitbit,Health & Fitness,"[steps, exercise, workouts]",,hardware,10000000,50000000,3.95070076,208624,20/10/2016,824210.9954,Luke,Blaine
87,154,com.sec.android.app.shealth,S Health,Health & Fitness,"[steps, heart rate]",,steps,100000000,500000000,4.136077881,195065,20/10/2016,806804.0319,Ciaran,Luke
64,340,com.kpmoney.android,AndroMoney ( Expense Track ),Finance,"[spending, income]",,spending,1000000,5000000,4.716093063,169802,23/10/2016,800802.0343,Arosha,Luke
88,143,com.google.android.apps.fitness,Google Fit - Fitness Tracking,Health & Fitness,"[steps, walking, exercise, workouts]",,steps,10000000,50000000,3.963454723,202024,02/09/2016,800712.977,Luke,
49,309,com.stt.android,Sports Tracker Running Cycling,Health & Fitness,"[exercise, workouts, cycling]",,running,5000000,10000000,4.476275444,160151,12/10/2016,716879.9886,Arosha,
89,244,com.sonymobile.lifelog,Lifelog,Health & Fitness,[steps],,steps,10000000,50000000,4.101710796,160199,18/10/2016,657089.9678,Ciaran,Arosha
19,206,com.runtastic.android.heartrate.lite,Runtastic Heart Rate Monitor,Health & Fitness,"[heartrate, heart rate]",,heart,5000000,10000000,4.335975647,146585,12/10/2016,635588.9902,Luke,
