,app,description,image,logo
0,com.popularapp.periodcalendar,"The ★highest rated (4.8)★ period calendar!Top 1 in Health & Fitness Over 43 Countries.Top 5 in Health & Fitness Over 63 Countries.Over 70,000,000 Android Users love Period Calendar.Keep track of your menstrual cycles with Period Calendar. It tracks your periods, cycles, ovulation and the chance of conception. Period tracker helps both women looking to  and those trying to .Period Tracker is useful, whether you have  or regular periods. It can track your  every day. You can also record your cervical mucus, BMI, sexual activity, weight, temperature, symptoms or moods. Think of it as your personal period diary. It will help you get in shape, , and stay healthy.PILL REMINDER & PERIOD REMINDER:- Customize the notification text to make it discreet, to avoid never being embarrassed in public.- Notifications for period, fertility and ovulation tracker-  reminder (includes pills, ring, patch & injections)PERIOD & FERTILITY TRACKER:- Helps predict menstruation, cycles, and ovulation- Ovulation calculator and tracker- Period calculator and fertility calculatorTRYING TO GET PREGNANT & BIRTH CONTROL:- Fertile symptoms tracker, like cervical firmness, cervical mucus, cervical opening- Check your odds of conceiving each day for better family planning;LOSE WEIGHT, TRACK SYMPTOMS & MOODS:- Intimacy tracker- Body temperature chart helps you determine ovulation date- Predict your ovulation date according to the ovulation test resultNEVER LOSE DATA:- Utilizes  data backup and Restoration- Backup and restore your period data to phone or emailMULTI ACCOUNT & SECURITY:- Multi accounts to track & security protections- View or search all notes through your timeline- To communicate and exchange ideas with each other about any topics ** Check our community ** https://goo.gl/jXpCx1",http://lh3.googleusercontent.com/QVr6TcXh-tmh1tkWFFXYGIiyA8m-clKNK8XS6v4ycS1GQ3vABxuTXUUZDNG2-uW7jrDp=h900,http://lh3.googleusercontent.com/jCw0w3M5ILePsx_LxtCNJHSntwGsa4yPY-PfiiXBtbNo-pvCNMyo6N5PUKiu1v9URDs=w300
1,com.myfitnesspal.android,"Whether you want to lose weight, tone up, get healthy, change your habits, or start a new diet MyFitnessPal has you covered. Our members have lost over 200 million pounds and 88% of people who track for at least 7 days on MyFitnessPal lose weight. Sign up for FREE and start living a happier and healthier life today!See for yourself why MyFitnessPal is the world’s most popular health and fitness app.▌TRACKING FOOD IS FAST AND EASY ■ Biggest Food Database -- 6+ million foods in our database including global items and cuisines. ■ Barcode Scanner -- Simply scan barcodes to log foods. 4+ million barcodes recognized. ■ Recipe Importer -- Easily import the nutrition information for the recipes you cook.■ Restaurant Logging -- Quickly log menu items from your favorite restaurants.■ Food Insights -- Learn how to make healthier choices about the foods you eat. ■ Personalized Experience -- Create your own foods, recipes, and meals and save favorites. ■ Calorie Counter -- We automatically calculate the calories in your foods, meals and recipes. ■ Track All Nutrients -- Calories, fat, protein, carbs, sugar, fiber, cholesterol, vitamins, and more.■ Customize Your Diary -- Log breakfast, lunch, dinner and snacks or create your own meals. ■ Water Tracking -- Log water in cups, ounces or ml. We save your recently logged amounts.▌REACH YOUR GOALS■ Choose A Goal -- We support weight loss, weight gain, and weight maintenance goals. ■ Get A Plan -- We’ll create a customized diet and exercise plan that’s specific to you. ■ Goal Setting -- Create your own goals or let us create personalized goals for you.■ Change Habits -- It's almost like having a nutrition coach right inside your pocket.▌LOG YOUR EXERCISE AND STEPS ■ Connect 50+ Apps & Devices -- Syncing your workouts is easy and automatic.■ Choose From 350+ Exercises -- Or create your own exercises and workouts. ■ Log Cardio Exercises -- Including running, walking, biking, swimming, yoga, pilates and more. ■ Log Strength Exercises -- Including sets, reps, and weight per set. ■ Track Steps -- Set a daily step goal and see a graph of your step history. ■ We connect with all your favorite apps and devices -- Including Fitbit, Jawbone UP, Garmin, MapMyFitness, Runkeeper, Strava, Runtastic, Misfit, Withings, HealthKit, UA Record and many more!▌GET SUPPORT AND MOTIVATION ■ Add Friends -- Connect with friends for an extra layer of support and accountability.■ Join Our Community -- Find motivation, support, tips, and advice in our active forums. ■ Newsfeed Updates -- Share your accomplishments and see friend’s progress in the newsfeed.▌CELEBRATE YOUR SUCCESS ■ Chart Your Progress -- Stay motivated with a graph of how you’re improving over time.■ Progress Photos -- Add photos to your weight entries to see and celebrate your progress. ■ Nutrition Reports -- View a history of your calories, macros, and nutrient intake. ■ Share Your Progress -- Help inspire friends and family members on their own health journey.Download MyFitnessPal and start living a happier and healthier life today!For our full terms and conditions and our privacy policy, please visit: https://account.underarmour.com/privacy?locale=en",http://lh3.googleusercontent.com/vNoRMy7u4JXw34g43QAKiA4WLbvyd9OnemlYYOzD3guXxZjeh3zhLv0gFN5JCqRxHw=h900,http://lh3.googleusercontent.com/WkGXEesGEu4ayZctjADlDKdscS3Ve1hmoVzhHQYh9NuK9QpDA3Rx6ae3jg7VH2dFZqk=w300
2,com.fitbit.FitbitMobile,"The free Fitbit app is designed to work with Fitbit activity trackers and smart scales.GET ACTIVE. EAT BETTER. MANAGE WEIGHT. SLEEP BETTER.- Wirelessly SYNC your Blaze, Alta, Alta HR, Charge 2, Flex 2, Surge, Charge HR, Charge, Flex, Aria, One or Zip tracker with your Android device.  - Track your DAILY GOALS and progress over time for STEPS, DISTANCE, CALORIES BURNED and more- Use GPS to track your RUNS, WALKS & HIKES- LOG ACTIVITIES like YOGA and WORKOUTS to keep you on track- LOG FOOD to see how many CALORIES you consume each day, and manage your WEIGHT over time- COMPETE with FRIENDS with daily or weekly CHALLENGES and compare stats- ALL DAY HEART RATE TRACKING with Fitbit Surge and Charge HRLearn more about Fitbit activity trackers and smart scales at www.fitbit.comSee list of supported devices at www.fitbit.com/devices",http://lh3.googleusercontent.com/S8t1aKO9SE15niBOHsCsQl9qdNsNuuWA3YyO228DPHDMi4eS5pUTW4ijDE1wVRjcQB33=h900,http://lh3.googleusercontent.com/dIpnDB-EbJhzSkF1jpdHKMq0q1oq58ZsRWVKuEGzmGGaPSIwHKFq05ROAOLS4SzFUw=w300
3,com.google.android.apps.fitness,"• Effortlessly track any activity. As you walk, run, or cycle throughout the day, your phone or Android Wear watch automatically logs them with Google Fit. • Get instant insights. See real-time stats for your runs, walks, and rides. Google Fit will record your speed, pace, route, elevation, and more so you can stay motivated and on track. • Reach your fitness goals. Set goals based on steps, time, distance, calories burned. Receive personalized recommendations and coaching for activity goals. • Measure your wellness. Aggregates info from other apps to track fitness, nutrition, sleep, and weight: Android Wear, Nike+, Runkeeper, Strava, MyFitnessPal, Lifesum, Basis, Sleep as Android, Withings, and Xiaomi Mi bands. • Check in from anywhere. Track your progress from your phone, tablet, the web () and even your Android Wear watch.",http://lh3.googleusercontent.com/TOjTikSLd0oYxzmcfpORtpbA_hWjrvfLsdQuKN9rfDm-SmB1y3V1V3QYhVfu18HJ=h900,http://lh4.ggpht.com/2PnWIlqNE5ZHwTpNdRBhViSOVBzRIeR4ezAisGyjrqWPiyRcSkm9RCpRBYg7lLvrMA=w300
4,com.runtastic.android.heartrate.lite,"Turn your phone into a quick and accurate  Heart Rate Monitor (HRM).The Runtastic Heart Rate Monitor app is an easy measure your heart beat with just your phone, no chest straps or external hardware is needed! Simply place the tip of your finger over your phone's camera to turn your phone into a heart beat monitor and get your instant heart rate reading.Measuring your heart rate is an easy way to determine your physical condition. Measure your heart rate after a training session to find out how your cardiovascular system is doing under stress, or measure your heart rate when you’re relaxed to measure your resting heart rate. Our heart rate app shows you how fast your heart rate is at any given moment.APP FEATURES & BENEFITS:* Measure your heart rate with your phone's camera* Graphs illustrate your heart rate measurement history* Different measuring types: Resting heart rate, pre & post-workout heart rate, maximum heart rate* Upload your results to Runtastic.com: Compare and analyse your measurements by day, week or year* Share your heart rate measurements on social networks like Facebook, Google+ & Twitter or via emailEASY TO USE* Place your index finger against the back camera lens and flashlight* Do not press too hard, otherwise blood circulation will be altered and the results could beaffected* When using a smartphone or tablet without a LED flashlight for your heart rate measurement, be sure to take the measurement in a well-lit area (bright daylight works best)* Remain calm and try not to move too much during the measurement, as this can compromise measurement accuracy* Do not measure with cold fingers when the blood circulation is poorEFFICIENT ANALYSISYour resting heart rate varies depending on your age and training level. A very fit and athletic person has a lower resting heart rate than someone who’s inactive. Eager to know if your fitness level has improved? Measure your heart rate on a regular basis and monitor the progress of your resting heart rate.Download the Runtastic Heart Rate App Monitor app today, check your heart rate regularly and show your friends how cool & calm you remain even when in a seemingly stressful situation!WARNING: This is not a medical product.",http://lh3.googleusercontent.com/l33orIrj0uVKSyFBhA87dIdlqHNx_QW4tFViaUMluQQWpEZ-nEmo4JKcWdSxd_lHYHE=h900,http://lh3.googleusercontent.com/pDU1dsdUyVooV-E6f9V2NlA6JCE2BwlowWZ_3qBBXT14Ymp9s3VI13v_fbmqen97WHE=w300
5,com.mapmywalk.android2,"Map My Walk – GPS Walking, Jogging, Running, Tracking Workouts and Calorie CounterStart walking with the MapMyWalk community. Record GPS-based activities to view detailed stats; connect with 400+ devices to import and analyze all your data in one place; log over 600 different activity types. ALL THE FEATURES YOU NEED TO SUCCEED☆ Gear Tracker - Add your athletic shoes and start tracking mileage with Gear Tracker. Help yourself avoid common injuries and get notified when it’s time for a new pair.☆ 600+ Activities - Log and record workouts with the largest selection of activities, including running, cycling, walking, gym workouts, cross training, yoga and tons of others.☆ Workout Stats - Record GPS-based workouts with customizable voice feedback for precise stats like pace, route, distance, calorie burn, elevation profile and more.SHARE FITNESS & NUTRITION DATA☆ Share Data - Sync your account with other health and nutrition apps like MyFitnessPal and Google Fit. TRAIN LIKE A PRO WITH MVP MEMBERSHIP☆ Go MVP - Be a premium member for an ad-free experience and access special features like heart rate analysis, personal training plans, audio coaching, and Live Tracking.☆ MVP Members Only - Enjoy exclusive offers and promotions from our partners.JOIN THE COMMUNITY ☆ Activity Feed - Share your progress and see what friends are doing on your Activity Feed. Whether you’re a beginner, casually active, looking to rededicate yourself to fitness or an athletic enthusiast, you’ll fit in perfectly with our 30+ million member strong community.☆ Social - Share your progress and workouts with friends on social media.MORE FEATURES ON THE WEB☆ 24/7 Activity Graph - Connect devices to view steps, sleep, workouts and more, all in one expertly designed graph. ☆ Import Data - We make it easy to connect and import data from the best activity tracking devices in the industry. Connect devices from Jawbone, Misfit, Fitbit, Garmin, Withings and more (Bluetooth Smart™ and ANT+™).☆ Challenges - Join Challenges for some friendly, virtual competition, climb the leaderboards and win prizes.Be sure to visit us at www.MapMyFitness.com for the full experience.Should you choose to upgrade to MVP, payment will be charged to your Google Wallet account at confirmation of purchase. The monthly subscription costs USD 5.99 per month while the yearly subscription costs USD 29.99 per year or USD 2.50 per month. Subscription renews automatically unless cancelled at least 24 hours prior to the end of the current period. There is no increase in cost when renewing. Subscriptions can be managed and auto-renewal turned off on wallet.google.com and click on ‘Update or cancel your subscription’ on the Transactions page after purchase. Once purchased, the current period cannot be cancelled. Any unused portion of a free trial period is forfeited if you choose to purchase a subscription to MVP. Find the full terms and conditions, and our privacy policy, at http://www.mapmyfitness.com/terms_of_use and http://about.mapmyfitness.com/about/user-privacy-policy/ respectively.",http://lh3.googleusercontent.com/k_DjbjiXszfwDFGdbFYB8x5C7MevtlJIS12lFrumHdeLiMKSmk5b6Jr2MHASOuFAZPI=h900,http://lh3.googleusercontent.com/oLR2wqW4lj0ShOSEUK-gW7J3Jj3JJLUG-mfwlxoGRnD7OBdkHXtvvRxdFodoOcWpiW4=w300
6,com.runtastic.android.roadbike.lite,"Join millions of Runtastic users who have experienced cycling on a whole new level with the free Runtastic Road Bike app. Runtastic Road Bike is ideal for all types of cycling activities, be it a casual ride around town, a long ride through the country, your long sunday ride or a race like the RideLondon 100 or Tour de France.ROAD BIKE APP FEATURES & BENEFITS: (limited in free version) * Track bike rides via GPS: Distance, duration, speed, elevation gain, pace, calories burned, etc.* LIVE Tracking & Cheers: Go LIVE and show your friends where and how fast you’re cycling & let them cheer you on for more motivation* Routes: Browse & search thousands of bike routes (available in the app and on Runtastic.com)* Voice Coach: Keeps you posted on speed, distance, elevation gain, etc.* Maps (Google Maps): Details on your current location and route taken* Offline Maps: Download & save maps to your smartphone* Coloured Traces (speed, elevation, climb rate, heart rate, etc.)* Display your current rate of climb during a ride (elevation gain/minute)* View the hill percent grade as you climb* Determine cadence & speed during your velo tours with the Runtastic Speed & Cadence Sensor (Bluetooth Low Energy) * Heart rate measurement (with additional hardware)* Configure your display: You choose which values are shown during your rides* Auto Pause: No need to manually stop & start activities during short breaks (with Runtastic Speed & Cadence Sensor)* Music: Create a playlist for your rides & activate your Powersong for a boost when you need it* Wind & weather conditions* Detailed post-ride analysis incl. time rode uphill, downhill, flat, as well as graphs & training progress * Open Street Map/Open Cycle Map Integration: Plan bike rides & discover new routes* Share your routes & success on Google+, Facebook, Twitter and via emailCOMPATIBLE BIKING HARDWARE:* Runtastic Heart Rate Combo Monitor* Runtastic Speed & Cadence Sensor (Bluetooth Low Energy)* Runtastic Bike Case for Android Smartphones* Runtastic Sports ArmbandYou can upload all your cycling workouts to Runtastic.com where they’re automatically added to your training log. Detailed information on your bike activities, comparisons with your friends, as well as further benefits help you stay motivated, improve your race times & reach your personal training goals. Hello, Tour de France!Get the free Runtastic Road Bike app now! Runtastic is all about health & fitness apps! Check out more of our apps to help you reach your fitness goals at http://play.google.com/store/search?q=pub:Runtastic",http://lh3.googleusercontent.com/Cou20o9N4ATuL2l8BCQy70emDbXvP-l7Hp03sHIbnN95GyTBUU8VQMyCFhRpTlbPjFs=h900,http://lh3.googleusercontent.com/5URrdgoBiMVkKQ3vUx3Rsm5pQqmrxNNYDuFktKLKzNT_WJ_1SptB7pKgC3xaLZSBMg=w300
7,com.bookmark.money,"Don’t ever let your money stress you out. Money Lover is the one simple personal finance app that helps you easily manage your money. You can stay on top of your budgets anytime, anywhere.-> The Independent: Best Personal Finance app-> Techuntold: Best budgeting app for money management -> App Listo: Top 10 Apps for Expense Management -> Bluestacks: A must have Financial Management appCheck out why millions of people are loving it!KEY FEATURES:-> : Record daily transactions and categorize them within seconds-> : set budgets that are easy to stick to, based on your own spending habits.-> : Clear view on your financial life.-> : Never miss a bill again! Schedule upcoming bills and get informed before due.-> : If you have more than one devices, Money Lover is perfect for you because it works smoothly on different devices and platforms.**: We now support link PayPal accounts to Money Lover wallet. We also support link to banks from Vietnam, Thailand, and Malaysia.  Money Lover has more to it than any other finance app!Check out OTHER FEATURES:- Manage debts and loans- Set events and savings plans- Scan receipts- Set up recurring transactions- Multiple currencies and wallets (cash, saving accounts, debit card, etc)- Shared wallets: manage money with your partner or family- Data backup, share via Dropbox or email- Currency converter- Dash-clock extension- In-app Help & Support- Built-in calculator  - Create and manage unlimited Wallets and Events- Unlimited Budgets and Savings- Picture sync- No ads- Export to CSV or Excel sheet Upgrade to Money Lover PREMIUM and stay on top of your money forever. If you have any question or issue, contact us via in-app Help & Support or email contact@moneylover.me and we’ll get to you ASAP. We love you! Follow us to get updates, useful tips and promotions!Facebook: bit.ly/moneylover-fbTwitter: bit.ly/moneyloverappGoogle+ community for Beta Testers: bit.ly/beta-tester-android--- Network Communication (Internet Access) is for retrieving currency exchange rate and synchronizing backup data and/or common wallet.- Social Information (Read Contact) is for suggesting “With” to tag your people in your contact list.- Your Location is for identifying your location of the transaction.- Storage (modify or delete contents on your USB storage) is for creating and storing backup data to the USB storage.- Access to System tools is for adding Home screen shortcuts and widget.",http://lh3.googleusercontent.com/xUtCjPx12oVCZia8HdQ0Uef3FoKQt4OVeh3wcI4Aa-P1YIA4ie8qLuvbr1fWqin4sBY=h900,http://lh3.googleusercontent.com/qB0f_jZKzJXbVbGce5LiqXLpDEB1gw7NgjLKjV1fIaNeur7ebMsMj1xEYr9x9oiR9uI=w300
8,com.monefy.app.lite,"How to track your expenses successfully? We know that it’s easy. You only need to add each expense you do… no more than that! And Monefy is going to help you. Just add new transactions when you are buying a coffee or taking a taxi. It’s done in one click, because you do not need to fill anything except the expense amount. It has never been so quick and enjoyable!Do you own a phone and a tablet? Or you want to track expenses with your significant other? Monefy fits the best. You can safely synchronize data between devices using your own Dropbox account. Create or change records, add new categories or delete old ones and they will be right away present on another device!Key features which make tracking enjoyable and powerful:1. Intuitive and easy to use user interface. No redundancy2. Add new records extremely fast3. Handy widgets that could be used on lock screen4. See your spending distribution on the nice and informative chart or get detailed information from the records list5. Manage categories, if defaults do not work for you6. Be safely synchronized using your own Dropbox account7. Choose the report period8. Select your currency9. Use budget mode10. Backup and export data in one click11. Passcode protection12. Multiple accounts support13. Built-in calculator14. No adsSupported languages: English, Русский, 中文(繁體), 中文(简体), Deutsch, Español, Français, Українська, 한국어, Português, Türkçe, İtaliano, Hrvatski, Polski, Norsk, Română.Monefy Pro without any restrictions could be found here - https://play.google.com/store/apps/details?id=com.monefy.app.proFind more information on our website - http://www.monefy.meGoogle Plus - https://plus.google.com/b/113033072053344730494/communities/112283249675442772631Facebook - https://www.facebook.com/pages/Monefy/632478933465457",http://lh3.googleusercontent.com/3tzV_j-0ArkOqY8KarvAGhPEX8SNya0UCRyIY_SuXd443LSRqjLjOHaj3VYcQvk5cN0=h900,http://lh6.ggpht.com/aHUBj8VVgMZqDVakcovm0VEfd_xWf8bY2Tk6gXdb3yTQgMgyHkCHjNW_OxYfZQgdEcE=w300
9,com.fitnow.loseit,"Lose It! helps you set a daily calorie budget, track your food and exercise, and stay motivated to make smarter choices and achieve your goal. We think it’s the best, most seamless weight loss system available.EFFECTIVELose It! is based on the proven principles of calorie tracking and peer support for healthy, sustainable weight loss.CONNECTEDWe seamlessly connect you to the people, devices, and food information you need to achieve your weight loss goals.PERSONALWe customize a weight loss plan that fits your life. Set your goals and achieve them on your terms.All the tools you need to achieve your weight loss goal, all in the palm of your hand.HOW IT WORKSGetting started with Lose It! is easy.  Simply download the app, tell us a little about yourself and your weight loss goal, and we'll create a custom weight loss plan for you.  Then simply start logging your food and exercise!TRACK YOURSELFLose It! offers a simple, easy-to-use tool for tracking what you eat and do. Our robust food database has thousands of restaurant, grocery store, and brand-name foods, all researched and validated by the Lose It! Team. Log food and activity on your Android device, or online at LoseIt.com.Tracking Features-Comprehensive validated food and exercise database-Easy to use calorie counter to stay within your daily budget-Barcode scanner makes tracking a snap!-Recipe builder-Share foods with friends-Meal & Exercise Planning helps you stay on track!**requires premium upgradeACHIEVE YOUR GOALSLose It! helps you set goals for weight loss, exercise, macronutrient intake,* blood pressure,* sleep,* and more! You set the goals, we’ll help you with the plan to achieve them. Goals available in Lose It!:-Weight-Body Fat*-Hydration*-Sleep*-Steps*-Exercise (Calories, Minutes)*-NikeFuel*-Nutrients (Carbohydrates, Fats, Protein, Fiber, Sodium)*-Measurements (Neck, Hip, Waist, Bicep, Thigh, Chest)**requires premium upgradeCONNECT APPS & DEVICESLose It! makes tracking a snap. Our platform integrates with the most popular health and fitness devices and apps available (we're talking wireless scales, pedometers, workout apps, and more) to provide a truly seamless, connected experience.Apps & Devices Supported:-Google Fit-Fitbit Tracker (One, Zip, Flex, & Classic)-Jawbone Up-Withings Body Scale-Fitbit Aria Body Scale-Nike+ Running App-RunKeeper-MapMyFitness-Twitter-CarePass by Aetna*requires premium upgradeGET SUPPORTIn-person meetings are so last century. Access your support network from you fingertips through our social features. With Lose It!, you can connect to friends, family, and peers around the clock for the support you need, when you need it.Peer Support Features:-Connect with Friends-Control Privacy-Join Public Groups-Join Private or Hidden Groups*-Create Public, Private, or Hidden Groups**requires premium upgradeCHALLENGE YOURSELFWe think health & fitness is more fun when you do it with others. Lose It!’s challenge feature unlocks your competitive side and helps you achieve your goals. Whether it’s weight loss, exercise, or total wellness, Lose It! offers head-to-head, team, and group-based challenges. Compete with each other or work together towards a common goal. Join a public challenge or create your own!*Challenge Type:-Weight Loss-Exercise-Days Logged-Fruits and Vegetables-Total Wellness ChallengeJoin/Create Challenges:-Join Public-Join Private or Hidden*-Create Public, Private, or Hidden**requires premium upgradeBecome a fan of Lose It! on Facebook (http://www.facebook.com/loseit) or follow us on Twitter @loseit (http://www.twitter.com/loseit).",http://lh3.googleusercontent.com/7IovGc7UUoYh7W73WvpsPcf4hcVrdq62IPbqOa1p9ERQv3pcWoWq3BuujKes6Odkeg=h900,http://lh3.googleusercontent.com/VFwEfPsDdxO9CS7Vfq-ltZRjAaRfml6RTIKqm4LPf9JBFN2FAqhHkVb0vXLZFbmJm8U=w300
